"columns","rows","columnnames","rownames","correlation_vec","reg_coeff","reg_const","stat_sig","sample_size"
454,209,"alko3","enernei3",-0.151106674908669,-0.411459341903384,6.84187359420849,0.00151590445937869,48967
683,258,"påviven9","skole10",0.622151418122941,0.447552447552447,1.0979020979021,0.00152526340105188,68260
379,474,"samftil1","alkprob12",0.229568071150935,0.536723163841809,1.29943502824859,0.00157462825417258,20172
359,142,"friluft7","covid8",-0.150500035835877,-0.197475516344414,3.74348800690457,0.00158452100425127,117899
208,676,"enernei2","påviven2",0.356171750972432,0.535190176699611,1.14255765199161,0.0015895436559215,40301
602,566,"idrlagnei7","forhfor8",-0.151826255701944,-0.117487081860213,2.56323089475118,0.00159130801435962,36262
545,730,"doping5_1","skolvansk3",0.195960080647373,0.0519628604007166,1.68366183417494,0.00159495604084352,32382
388,319,"alvor1","vennkont2",-0.24451301327599,-0.249161752803792,4.3125216788068,0.00160288893310132,27781
505,229,"alktype4","alknei4",0.280459402183777,0.515254237288135,0.56949152542373,0.00160495234907436,57598
746,378,"sosmedia2_7","poldelt5",-0.23980340010327,-0.503086419753083,1.25308641975308,0.00163453224039419,35923
461,208,"alkpress2","enernei2",0.238918942728016,0.106190829370446,0.997164172592821,0.00164921450523377,50338
675,728,"påviven1","skolvansk1",-0.366763251482028,-0.144294583600942,3.07193320488119,0.00165546284956024,32616
181,206,"trygg1","energi1",0.216764337148181,0.0658183413777973,0.993198771390962,0.00166168372871162,109088
770,390,"søvnprob8","alvor3",-0.303233326476422,-0.279958318860716,3.45814518930184,0.00166425261967881,38510
199,286,"måltid12","skolprob5",-0.166023787652774,-0.257817329905965,5.62920964435626,0.00169579138658036,204618
262,284,"karforn1","frafall1_1",0.277831884464977,0.226203067160233,1.54217345319937,0.00170656867201873,31773
311,268,"skjermprob4","skoleangst1",-0.150634065274353,-0.0686123700956828,1.73087030169849,0.00171225328638537,21879
388,708,"alvor1","skjermtid2_4",-0.348843509342522,-0.866883116883119,4.54545454545454,0.00174737529933393,116721
228,466,"alknei3","alkprob4",0.222709415031707,0.226361031518625,1.18448313863787,0.00175181259126281,26704
375,305,"poldelt1","kultår7",-0.280426359508272,-0.113026819923371,2.06896551724138,0.00175672696605985,40804
316,571,"nettkont3","forhfor13",-0.153590954929331,-0.15409723559,2.12814375266774,0.00176806717482777,45088
574,632,"framtid2","mobbdig5",-0.16400245761824,-0.222570975690141,3.174845807373,0.00179583378482648,183914
210,769,"enernei4","søvnprob6",0.466526589621138,0.705882352941177,0.647058823529411,0.00184415324956557,53016
389,522,"alvor2","databruk3",0.231189733684979,0.176539909241215,3.11874274457383,0.00184737130439417,78512
389,708,"alvor2","skjermtid2_4",-0.348818677600582,-0.854545454545455,4.36363636363636,0.00187668788077041,116721
378,526,"poldelt5","databruk13",-0.23912624931463,-0.107142857142857,2.07142857142858,0.00191707409876711,70746
264,280,"skoletime2","skulkgr3",0.3721868371126,0.253299276287782,1.40144742443593,0.00192614997927954,78424
305,376,"kultår7","poldelt2",-0.278026922370546,-1.00124223602483,3.71552795031054,0.00193085944950751,44531
269,218,"skoleangst2","alko2",0.198762492604323,0.279052369077307,1.88229426433915,0.00193144888390363,382455
766,206,"søvnprob3","energi1",0.349887848156621,0.190979458172075,1.09839237868413,0.00194660591886027,109088
451,472,"alknei6","alkprob10",0.222239903149423,0.277220077220078,1.02548262548262,0.00194715784798535,26640
487,290,"alkskaf1_7","framtid6",-0.205021751330341,-0.0605425400739828,0.214130702836005,0.00199416614287173,22278
318,236,"vennkont1","alkomg4",-0.194493147000209,-0.184240843661776,3.1696312144729,0.00200595139257996,41590
287,755,"skolprob2","spilltid3_7",0.284900832995434,0.41139240506329,1.08860759493671,0.00202824192857934,141689
766,210,"søvnprob3","enernei4",0.462006653712936,0.3875,0.795833333333333,0.00206924313535758,50218
215,340,"energru3","spillvikt3",-0.155625520130286,-0.151922256747701,3.1849448607811,0.00208175889494603,29484
704,504,"sextrak7","alktype3",0.245069895427258,0.168005139736588,0.933825891423066,0.00211630522488664,54875
327,389,"spilltid2_5","alvor2",-0.251477823429403,-0.112921475446934,0.849966055668704,0.00212266067026808,38746
569,731,"forhfor11","skolvansk4",-0.28120494857669,-0.196584938704028,2.89876435104106,0.00213155530886396,32396
262,762,"karforn1","søvnprob10",0.477065023256333,0.294117647058824,1.18099547511312,0.00213527140906966,34694
375,215,"poldelt1","energru3",0.338270798119365,0.129251700680273,1.4421768707483,0.00214789283668209,53888
268,333,"skoleangst1","spillprob3",-0.211761724861244,-0.563936781609196,3.0014367816092,0.00224620521009919,232946
287,754,"skolprob2","spilltid3_6",0.282089681624992,0.417590539541759,1.09756097560975,0.00225579886619047,141689
765,210,"søvnprob2","enernei4",0.458431164779761,0.5625,1.02083333333333,0.00226412221764214,50218
764,390,"søvnprob12","alvor3",-0.294820025461356,-0.168461271274748,1.99652657172629,0.00226562932932707,38510
338,207,"spillvikt1","enernei1",-0.161246263688803,-0.22732558139535,3.07046511627906,0.002480804001954,51271
618,521,"mat11","databruk2",-0.164975784385025,-0.190130184680592,3.68452921586434,0.00256681053869521,80911
352,402,"someprob5","helsest1",-0.153287230327382,-0.0629006244572182,1.98993700288104,0.00259677798826908,112642
302,240,"kultmnd2","rusholdn12",0.233608386533047,0.188557213930349,0.856218905472637,0.00260789739126077,32698
755,375,"spilltid3_7","poldelt1",-0.232585555424947,-0.258223684210526,0.726973684210526,0.00264499221894762,44662
566,728,"forhfor8","skolvansk1",-0.274237070398065,-0.194427089841309,2.70311133325003,0.00265494608566194,32616
569,730,"forhfor11","skolvansk3",-0.275226456970575,-0.194276361472076,2.89872036504315,0.00267075396546162,32382
674,475,"påvifor9","alkprob13",0.348818857550635,0.385256691531375,1.35278630978499,0.00267372552584729,41047
553,389,"eat3","alvor2",0.233497218529885,0.207694377185903,2.31172092189041,0.00278639957448031,38746
208,185,"enernei2","søvn1",-0.170981986322991,-0.195136056492361,3.05582273086991,0.00282668682557419,86335
217,768,"energru6","søvnprob5",-0.496377119401711,-0.373511904761905,4.26190476190476,0.00282808394575842,53130
366,399,"atfpro23","skolehels7",-0.233696806176604,-0.107027318475916,1.28657440690151,0.00284877064267354,30292
451,469,"alknei6","alkprob7",0.2151501784932,0.286995515695068,1.02421524663677,0.00287250992779747,34448
183,206,"trygg3","energi1",0.20662100374217,0.0869300751084316,1.34073838992912,0.00288488097209003,109088
464,227,"alkprob2","alknei2",0.204380905612426,0.25097370983447,0.824975657254136,0.00292457980263082,61126
205,292,"skolemat4","framtid7",-0.278523520080409,-0.40992448759439,5.11866235167207,0.00294304818527939,196829
377,461,"poldelt4","alkpress2",-0.322503719928826,-0.144011976047904,2.1188622754491,0.00294449490873061,56285
228,321,"alknei3","vennkont4",0.195983389063749,0.0775180127979038,1.16692699148486,0.00302391288373064,27616
200,598,"måltid13","idrlagnei3",-0.157271180599301,-0.355369683964106,3.12653628560281,0.00304818986044217,26624
318,316,"vennkont1","nettkont3",0.254095386614516,0.316618429023357,2.23578111327993,0.00305059257858954,90853
732,566,"skolvansk5","forhfor8",-0.270982013086658,-0.281486463763242,5.00773499243317,0.00312518881754154,36262
480,750,"alkprob18","spilltid3_2",0.266122829071947,0.45959595959596,1.22222222222223,0.0031740234732346,141689
699,455,"sextrak2","alko4",0.232542693694648,0.0885648503453567,1.1424405218726,0.00318122256037458,30359
569,728,"forhfor11","skolvansk1",-0.270388441700788,-0.175750693918748,2.62515770880646,0.00319400140599313,32616
336,476,"spillprob6","alkprob14",-0.2713725084428,-0.17060212514758,2.08500590318772,0.00321265497586993,40984
699,502,"sextrak2","alktype1",0.234336218204243,0.129323811649186,1.1490738674403,0.00323549425814831,55637
307,377,"kultår9","poldelt4",-0.266603793990715,-0.591591591591599,2.48048048048049,0.00324631720971672,44466
201,478,"måltid6","alkprob16",-0.150374816619588,-0.141063976604348,3.34344297308842,0.00325781168137517,40880
268,331,"skoleangst1","spillprob1",-0.203089174032617,-0.5,2.875,0.0032603161122891,235227
476,329,"alkprob14","spilltid2_7",0.263895427830636,0.304041527623286,1.0752688172043,0.00331335957271269,147458
527,252,"depr1_2010","narko1",-0.18714054920537,-0.488224211022141,3.21172868582195,0.00341037029233097,146560
467,229,"alkprob5","alknei4",0.218089305093288,0.254016445287793,0.79304237824162,0.00345053823452953,57598
280,536,"skulkgr3","depr9",0.22482813918344,0.276473194505982,1.15152857775808,0.00348809771973524,22489
641,290,"måltid9","framtid6",0.35163711850863,0.411619891678976,3.35499753815854,0.003523818945403,22278
480,771,"alkprob18","tenner1",0.232234167181095,0.149969824984913,0.901327700663845,0.0035311162377721,190966
361,393,"friluft9","hatytring4",-0.20878730855275,-0.39015963783655,4.97867524422206,0.00356936176085169,40020
480,330,"alkprob18","spilltid2_8",0.261617202404864,0.544973544973546,1.24074074074074,0.00360524950436033,147458
378,200,"poldelt5","måltid13",-0.209611761869807,-0.0311110350961208,2.02769036053909,0.00361108280070687,33478
362,392,"friluft10","hatytring2",-0.207403024636505,-0.412751677852353,5.1006711409396,0.00362230647301527,40067
267,346,"skoletime5","sosvikt2",0.198947350402673,0.149456116823126,2.26348532260468,0.00362907308423963,217983
677,208,"påviven3","enernei2",0.329406099569814,0.215413184772516,1.82544103992572,0.00366471579202382,50338
390,451,"alvor3","alknei6",-0.459537501921733,-1.27969348659004,5.00383141762452,0.00370270398085283,53959
388,650,"alvor1","nærmiljø1",-0.199777512782821,-0.186387612727583,4.30277352390675,0.00373018185001071,182763
731,680,"skolvansk4","påviven6",0.343818605323795,0.637238493723849,1.78577405857741,0.00382142504922375,39648
264,226,"skoletime2","alknei7",0.489583333333333,0.870370370370371,0.759259259259259,0.00383105286799412,30066
532,252,"depr6_2010","narko1",-0.184849073016404,-0.5104804521903,3.34656146961847,0.00383267909049771,146560
479,674,"alkprob17","påvifor9",0.334306211720102,0.357590529247911,0.708565459610029,0.00384408653364324,53096
392,360,"hatytring2","friluft8",-0.20635700845369,-0.102130786186627,1.60139603232917,0.00389203570523385,58259
161,466,"venner5","alkprob4",-0.152295022821549,-0.121693217366147,2.32054318933875,0.00392308614486121,26704
655,534,"piller3","depr8_2010",-0.185511689386338,-0.0423803502318269,1.18178334674484,0.00400296634904391,37375
284,197,"frafall1_1","fysselvb1",-0.19398855639953,-0.278337362342198,1.9783105022831,0.00412522598852117,30180
263,245,"skoletime1","ruskjør3",-0.171524152483502,-1.02919708029199,4.02919708029201,0.00412709813471206,225375
204,695,"skolemat3","seksuori3",0.210743993761714,0.365482233502537,1.6751269035533,0.00418871067498701,28068
393,360,"hatytring4","friluft8",-0.204791291185921,-0.104153827190928,1.58511031677554,0.00427783990096852,58259
264,225,"skoletime2","alknei1",0.484375,0.775,0.825,0.00428429910091123,59653
225,470,"alknei1","alkprob8",0.200317661980119,0.173574242164754,1.12065422161328,0.00435493748433456,26644
257,379,"skole9","samftil1",-0.267486479843606,-0.221100554235946,2.7763262074426,0.00435545625142315,66453
334,476,"spillprob4","alkprob14",-0.261278115941555,-0.184210526315789,2.06725146198831,0.00443539336863069,40984
217,761,"energru6","søvnprob1",-0.475191778581796,-0.361766945925362,4.18659558263518,0.00451117127444037,53598
181,243,"trygg1","ruskjør1",-0.210664244444818,-0.126989456718824,1.60539923443691,0.00453128760497244,224097
648,526,"narko9","databruk13",0.272278025130711,0.0270977387404223,0.974397308914223,0.00455116702325343,70746
157,213,"oppdragelse4","energru1",0.367251605991805,0.212918660287081,0.772727272727273,0.00457042793877486,54676
206,154,"energi1","oppdragelse1",0.309834905109118,0.773302646720368,2.3849252013809,0.00461618003666076,31249
534,219,"depr8_2010","rusfarl1",-0.179667789525106,-0.243832223077695,3.45934455863154,0.00470355722842296,130073
755,376,"spilltid3_7","poldelt2",-0.218032536067697,-0.47529200359389,1.18957771787961,0.00477314340678671,44531
475,756,"alkprob13","spilltid3_8",0.254772190045302,0.440353881278539,1.2054794520548,0.00480091621331573,141689
229,504,"alknei4","alktype3",0.252288104401101,0.167920094007051,1.31821386603995,0.00487576223915806,54875
655,290,"piller3","framtid6",-0.187397183810724,-0.0311115585984691,1.09398912605718,0.00489314984193784,22278
474,601,"alkprob12","idrlagnei6",-0.224116064931743,-0.281063122923588,2.05116279069767,0.00491481556233181,26234
399,252,"skolehels7","narko1",-0.221038581152257,-0.284222571878128,2.2563295665856,0.00497190541372408,146560
288,217,"skolprob3","energru6",-0.160606121387542,-0.0859544150428222,1.42596444074702,0.00500096766256923,53537
480,751,"alkprob18","spilltid3_3",0.253610319429533,0.391208791208791,1.20879120879121,0.00500366939513256,141689
